hour,concentrate_grade
1,28.748357076505616
2,28.43086784941441
3,28.823844269050348
4,29.26151492820401
5,28.382923312638333
6,28.38293152152541
7,29.289606407753695
8,28.883717364576455
9,28.265262807032524
10,28.771280021792982
11,28.26829115359377
12,28.26713512321487
13,28.620981135783016
14,27.5433598776711
15,27.637541083743482
16,28.218856235379512
17,27.993584439832787
18,28.657123666297636
19,28.045987962239394
20,27.793848149332355
21,29.232824384460777
22,28.38711184975673
23,28.533764102343962
24,27.787625906893272
25,28.227808637737407
26,28.555461294854933
27,27.924503211288847
28,28.687849009172837
29,28.1996806550406
30,28.354153125103362
31,28.1991466938853
32,29.42613909225447
33,28.493251387631034
34,27.97114453552205
35,28.911272456051595
36,27.88957817501449
37,28.60443179750238
38,27.520164938060113
39,27.835906975550785
40,28.59843061793456
41,28.869233289997705
42,28.585684140594985
43,28.44217585880588
44,28.349448152205355
45,27.760739004816287
46,28.140077895802644
47,28.269680614520105
48,29.028561113109458
49,28.67180914478423
50,27.618479922318635
51,26.0
52,28.307458859791844
53,28.16153899984702
54,28.805838144420434
55,29.015499761247977
56,28.965640059558098
57,28.080391238388682
58,28.34539381207439
59,28.66563171570178
60,28.98777256356118
61,28.260412881077354
62,28.40717051166809
63,27.946832512996984
64,27.901896687959663
65,28.9062629111971
66,29.178120014285412
67,28.463994939209833
68,29.00176644894601
69,28.68081801252382
70,28.177440122697437
71,28.680697802754207
72,29.269018283232985
73,28.482086980445025
74,29.282321827907005
75,27.190127447955128
76,28.910951252187612
77,28.543523534119085
78,28.350496324767064
79,28.54588038826775
80,27.506215542699554
81,30.368196867297492
82,30.71426754290705
83,31.38673642684491
84,30.18903786903581
85,30.014903838264086
86,30.198945773849278
87,31.049241270621245
88,30.69725066579581
89,30.182143877739776
90,30.807960459868013
91,30.558246529608823
92,31.081186994319733
93,30.07876814367359
94,30.30340271204134
95,30.264735108120707
96,29.62189103112073
97,30.677672166238747
98,30.656633163307934
99,30.503068073985478
100,30.359247719974913
