trip_id,time_step,speed
0,0,10.033985180585194
0,1,12.251181425136558
0,2,10.904925378394077
0,3,14.657008946220497
0,4,12.97084876680789
0,5,15.130092231721848
0,6,17.762566552080344
0,7,16.4455567125119
0,8,17.043873216570365
0,9,19.09438411468423
0,10,16.291267124151915
0,11,20.56574073640225
0,12,20.562099449502927
0,13,22.355883886738745
0,14,23.75710440664874
0,15,22.41913936842487
0,16,22.255667494928282
0,17,22.47921975668788
0,18,23.738176193632434
0,19,24.531506732983388
0,20,27.639296524119423
0,21,28.91706121344533
0,22,28.327515926236792
0,23,27.25753844463401
0,24,27.309096647987765
0,25,28.62971309368276
0,26,30.06724551238342
0,27,30.15475086991581
0,28,29.944874908688682
0,29,29.647507160417245
0,30,30.468656936585546
0,31,33.8253791472022
0,32,34.92097104755124
0,33,31.87530244085805
0,34,33.39600580673443
0,35,32.515752549324155
0,36,32.07577301792423
0,37,36.182734374515256
0,38,32.568891062617894
0,39,33.47200897029462
0,40,37.242751539649504
0,41,34.068545088567284
0,42,34.83692608391468
0,43,34.77641958650534
0,44,34.90376860473766
0,45,34.154235547193665
0,46,36.36278041055993
0,47,36.70390491286021
0,48,32.22334797300033
0,49,32.128393934041384
0,50,35.86641247855094
0,51,31.57775831001142
0,52,35.89052380091896
0,53,33.38995150388495
0,54,36.166566975307894
0,55,30.063716369599415
0,56,34.655445788585006
0,57,30.07016774400729
0,58,32.80443113723119
0,59,33.15161600443057
0,60,29.791062583694476
0,61,29.630185546735884
0,62,27.98543313508682
0,63,30.523629501512243
0,64,29.488967197550217
0,65,28.159177078522088
0,66,26.446458373935897
0,67,26.01585997719059
0,68,27.486834276096495
0,69,28.58001611625182
0,70,25.561179529063804
0,71,23.289000669931493
0,72,22.515586891999437
0,73,21.39739947213593
0,74,22.657174714530615
0,75,20.814915114063087
0,76,20.992023836818188
0,77,19.641028665646083
0,78,16.888236097699693
0,79,19.571328719479347
0,80,13.885771370090982
0,81,15.883776026688418
0,82,16.863994977557294
0,83,15.149459432375513
0,84,14.505495840482872
0,85,13.372766740416507
0,86,12.69220240973413
0,87,9.885217585835854
0,88,7.158462367187329
1,0,7.6914934367886385
1,1,10.297370930660088
1,2,13.28717438975212
1,3,13.984606435173148
1,4,13.736071692786103
1,5,15.387283853956413
1,6,14.12281764154298
1,7,14.402841240894228
1,8,16.633888443274053
1,9,21.03538947484409
1,10,20.897063541047142
1,11,21.430293654718827
1,12,20.31977858025981
1,13,22.293128817337383
1,14,23.507911371349252
1,15,23.06495614306696
1,16,26.29664674182885
1,17,25.7925848490263
1,18,23.530498484295187
1,19,27.305619676137244
1,20,27.673766550149764
1,21,29.075040413700606
1,22,32.16260368396206
1,23,30.85199111696133
1,24,27.654853973817804
1,25,32.40895554238456
1,26,31.64331194265716
1,27,33.12469206094636
1,28,32.621675716400844
1,29,33.88003462887518
1,30,35.61454779291583
1,31,34.08801951939693
1,32,32.130995844158136
1,33,33.107538277047055
1,34,35.15978527146979
1,35,31.744995331069582
1,36,34.769131145023124
1,37,32.440828857240504
1,38,34.154255618684196
1,39,35.49710991177043
1,40,37.91114759837532
1,41,34.82391012364538
1,42,36.09435120432986
1,43,35.980469844216174
1,44,33.6039199380882
1,45,38.019328802624806
1,46,34.47166000154069
1,47,34.11997146829363
1,48,37.12217125050221
1,49,35.097353583362136
1,50,31.30648968403669
1,51,34.15809442705908
1,52,31.06432592046538
1,53,33.41815207327236
1,54,30.445012694639026
1,55,30.5696210374157
1,56,29.403072307354
1,57,30.515106036258203
1,58,29.930161863965964
1,59,28.46487840547103
1,60,29.45699456157444
1,61,26.970952039246093
1,62,23.169624768781816
1,63,25.761217207642307
1,64,25.179048959803545
1,65,22.953196881604566
1,66,20.440932281300043
1,67,20.84580555093172
1,68,18.853259343954583
1,69,22.640116199790587
1,70,18.347220915675816
1,71,19.068601949261833
1,72,15.41515813513751
1,73,18.44762982843436
1,74,15.542133721027872
1,75,14.0343280849937
1,76,13.12314473831219
1,77,14.681958466580333
1,78,12.460782160329467
1,79,11.46735908237152
2,0,9.693904159513728
2,1,11.686416801811163
